testing_network,filename,source,target_class,predicted_class,fastlin_eps
Dense2x23,Avg_MNIST_3.png,MNIST,3,3,5.3515625
Dense2x22,Avg_Exp2_0.png,Exp2,0,0,11.2255859375
Dense2x22,Avg_Exp2_1.png,Exp2,1,1,1.1572265625
Dense2x22,Avg_Exp2_3.png,Exp2,3,3,18.4228515625
Dense2x22,Avg_MNIST_0.png,MNIST,0,0,6.6259765625
Dense2x22,Avg_MNIST_1.png,MNIST,1,1,3.5595703125
Dense2x22,Avg_MNIST_3.png,MNIST,3,3,4.8486328125
Dense3x31,Avg_Exp2_0.png,Exp2,0,0,10.6005859375
Dense3x31,Avg_Exp2_1.png,Exp2,1,3,3.4521484375
Dense3x31,Avg_Exp2_3.png,Exp2,3,3,25.60546875
Dense3x31,Avg_MNIST_0.png,MNIST,0,0,5.87890625
Dense3x31,Avg_MNIST_1.png,MNIST,1,1,2.3193359375
Dense3x31,Avg_MNIST_3.png,MNIST,3,3,4.5751953125
Dense2x34,Avg_Exp2_0.png,Exp2,0,0,7.3974609375
Dense2x34,Avg_Exp2_1.png,Exp2,1,1,4.23828125
Dense2x34,Avg_Exp2_3.png,Exp2,3,3,15.5419921875
Dense2x34,Avg_MNIST_0.png,MNIST,0,0,5.0732421875
Dense2x34,Avg_MNIST_1.png,MNIST,1,1,2.216796875
Dense2x34,Avg_MNIST_3.png,MNIST,3,3,3.857421875
Dense3x42,Avg_Exp2_0.png,Exp2,0,0,6.904296875
Dense3x42,Avg_Exp2_1.png,Exp2,1,1,1.025390625
Dense3x42,Avg_Exp2_3.png,Exp2,3,3,12.4951171875
Dense3x42,Avg_MNIST_0.png,MNIST,0,0,5.205078125
Dense3x42,Avg_MNIST_1.png,MNIST,1,1,2.6513671875
Dense3x42,Avg_MNIST_3.png,MNIST,3,3,4.5849609375
Dense3x51,Avg_Exp2_0.png,Exp2,0,0,6.7724609375
Dense3x51,Avg_Exp2_1.png,Exp2,1,2,1.6552734375
Dense3x51,Avg_Exp2_3.png,Exp2,3,3,13.837890625
Dense3x51,Avg_MNIST_0.png,MNIST,0,0,5.48828125
Dense3x51,Avg_MNIST_1.png,MNIST,1,1,2.3486328125
Dense3x51,Avg_MNIST_3.png,MNIST,3,3,2.59765625
