network,class,som_mode,obj_val,finishedSearch
Dense2x25,0,second place relative,25.064467037388763,True
Dense2x25,1,independent,26.469077477444692,True
Dense2x25,1,mean relative,30.272496027498207,True
Dense2x25,1,second place relative,22.99007635449473,True
Dense2x25,3,independent,40.85909677648497,True
Dense2x25,3,mean relative,49.18611948664725,True
Dense2x25,3,second place relative,33.50874424575028,True
Dense2x30,0,independent,31.03198659949726,True
Dense2x30,0,mean relative,34.93100109918406,True
Dense2x30,0,second place relative,23.66581937768009,True
Dense2x30,1,independent,32.06729758697827,True
Dense2x30,1,mean relative,39.66109190425369,True
Dense2x30,1,second place relative,30.53405110192809,True
Dense2x30,3,independent,51.3550775895058,True
Dense2x30,3,mean relative,60.92616692834143,True
Dense2x30,3,second place relative,45.43540668620815,True
Dense2x35,0,independent,27.78876069557267,True
Dense2x35,0,mean relative,34.94948525109119,True
Dense2x35,0,second place relative,22.682459623188787,True
Dense2x35,1,independent,20.871858687813575,True
Dense2x35,1,mean relative,27.036888919925964,True
Dense2x35,1,second place relative,20.416161511321697,True
Dense2x35,3,independent,48.29996038744767,True
Dense2x35,3,mean relative,62.44858171418973,True
Dense2x35,3,second place relative,39.326705170241674,True
Dense2x40,0,independent,30.806876926666135,True
Dense2x40,0,mean relative,33.699553412837126,True
Dense2x40,0,second place relative,25.53178301527163,True
Dense2x40,1,independent,25.94683609363764,True
Dense2x40,1,mean relative,29.133541865901293,True
Dense2x40,1,second place relative,23.220506121960778,True
Dense2x40,3,independent,50.55263107506465,True
Dense2x40,3,mean relative,55.965674061151,True
Dense2x40,3,second place relative,37.899118572377944,True
Dense2x45,0,independent,25.0398732481018,True
Dense2x45,0,mean relative,31.778366932419576,True
Dense2x45,0,second place relative,24.39557669074103,True
Dense2x45,1,independent,21.533036613999062,True
Dense2x45,1,mean relative,29.565987706218973,True
Dense2x45,1,second place relative,21.155000495585853,True
Dense2x45,3,independent,52.03990759344941,True
Dense2x45,3,mean relative,64.86818108500712,True
Dense2x45,3,second place relative,40.92600282156762,True
Dense2x50,0,independent,26.678486608919883,True
Dense2x50,0,mean relative,32.77469286906911,True
Dense2x50,0,second place relative,26.215410823686266,True
Dense2x50,1,independent,0,False
Dense2x50,1,mean relative,0,False
Dense2x50,1,second place relative,24.435336621066252,True
Dense2x50,3,independent,44.07282942386346,True
Dense2x50,3,mean relative,55.08388869490678,True
Dense2x50,3,second place relative,38.39548123504768,True
Dense3x15,0,independent,22.186183378536004,True
Dense3x15,0,mean relative,34.63114067356468,True
Dense3x15,0,second place relative,19.638287885832206,True
Dense3x15,1,independent,20.394644777137145,True
Dense3x15,1,mean relative,29.25501779256758,True
Dense3x15,1,second place relative,19.66859850836056,True
Dense3x15,3,independent,33.535702834418565,True
Dense3x15,3,mean relative,61.459987799990756,True
Dense3x15,3,second place relative,32.87602244924751,True
Dense3x20,0,independent,28.169086032390013,True
Dense3x20,0,mean relative,34.70910837810676,True
Dense3x20,0,second place relative,22.211221326587143,True
Dense3x20,1,independent,36.955937858427404,True
Dense3x20,1,mean relative,37.55631562079586,True
Dense3x20,1,second place relative,27.68018235698554,True
Dense3x20,3,independent,52.58662410424931,True
Dense3x20,3,mean relative,58.4448672229077,True
Dense3x20,3,second place relative,31.91517212352093,True
Dense3x25,0,independent,40.80440306271483,True
Dense3x25,0,mean relative,45.832987018479535,True
Dense3x25,0,second place relative,23.646612734071294,True
Dense3x25,1,independent,30.048400326933553,True
Dense3x25,1,mean relative,39.87716609360785,True
Dense3x25,1,second place relative,24.20114658075964,True
Dense3x25,3,independent,49.72678179682792,True
Dense3x25,3,mean relative,63.81895394881998,True
Dense3x25,3,second place relative,41.78378511784958,True
Dense3x30,0,independent,30.31892171568643,True
Dense3x30,0,mean relative,32.81495699819967,True
Dense3x30,0,second place relative,25.04666554768292,True
Dense3x30,1,independent,34.809317011606225,True
Dense3x30,1,mean relative,34.849653665577605,True
Dense3x30,1,second place relative,26.710821419868566,True
Dense3x30,3,independent,53.839239546498185,True
Dense3x30,3,mean relative,54.02793957818252,True
Dense3x30,3,second place relative,37.20712566702894,True
Dense4x20,0,independent,25.35110348909179,True
Dense4x20,0,mean relative,35.72211513550627,True
Dense4x20,0,second place relative,21.706081158044796,True
Dense4x20,1,independent,39.20675562751434,True
Dense4x20,1,mean relative,49.22244626102684,True
Dense4x20,1,second place relative,22.172891846329385,True
Dense4x20,3,independent,48.18694202449287,True
Dense4x20,3,mean relative,63.86642916564285,True
Dense4x20,3,second place relative,44.06015010361305,True
Dense4x25,0,independent,36.99840137975591,True
Dense4x25,0,mean relative,37.64540346572076,True
Dense4x25,0,second place relative,23.065532527847534,True
Dense4x25,1,independent,36.668558512097675,True
Dense4x25,1,mean relative,44.98272866421335,True
Dense4x25,1,second place relative,29.41119033699025,True
Dense4x25,3,independent,56.834970949363154,True
Dense4x25,3,mean relative,67.88110288042631,True
Dense4x25,3,second place relative,41.166710891525085,True
Dense5x20,0,independent,47.56884488889766,True
Dense5x20,0,mean relative,48.98201944868424,True
Dense5x20,0,second place relative,31.391171491569175,True
Dense5x20,1,independent,47.97074175194098,True
Dense5x20,1,mean relative,55.8736265752054,True
Dense5x20,1,second place relative,35.59712082816766,True
Dense5x20,3,independent,40.73254023745461,True
Dense5x20,3,mean relative,48.58244095999573,True
Dense5x20,3,second place relative,32.64560263873685,True
