testing_network,generating_network,target_class,som_mode,predicted_class,filename,finishedSearch,epsilon
Dense3x20,Dense1x65,1,mean_relative,2,Dense1x65_1_mean_relative.png,True,0.0
Dense3x20,Dense2x40,1,mean_relative,1,Dense2x40_1_mean_relative.png,True,6.672660706363212
Dense3x20,Dense4x20,3,second_place_relative,3,Dense4x20_3_second_place_relative.png,True,63.26172751654057
Dense1x25,Dense1x40,3,mean_relative,3,Dense1x40_3_mean_relative.png,True,68.40182570028142
Dense1x30,Dense3x15,3,independent,3,Dense3x15_3_independent.png,True,12.212933711566185
Dense1x30,Dense1x50,3,second_place_relative,3,Dense1x50_3_second_place_relative.png,True,68.10894941930835
Dense1x30,Dense1x25,1,second_place_relative,1,Dense1x25_1_second_place_relative.png,True,4.488079035744028
Dense1x30,Dense1x60,1,independent,3,Dense1x60_1_independent.png,True,0.0
Dense1x30,Dense4x20,1,independent,2,Dense4x20_1_independent.png,True,0.0
Dense1x60,Dense1x25,3,second_place_relative,3,Dense1x25_3_second_place_relative.png,True,64.15853708101046
Dense1x60,Dense2x25,1,mean_relative,2,Dense2x25_1_mean_relative.png,True,0.0
Dense1x60,Dense4x20,3,second_place_relative,3,Dense4x20_3_second_place_relative.png,True,18.164882993076013
Dense1x60,Dense2x35,1,independent,1,Dense2x35_1_independent.png,True,11.132693929631287
Dense1x60,Dense1x20,3,independent,3,Dense1x20_3_independent.png,True,35.9451272229876
Dense3x15,Dense2x50,0,independent,0,Dense2x50_0_independent.png,True,14.315874490525891
Dense3x15,Dense2x35,0,second_place_relative,0,Dense2x35_0_second_place_relative.png,True,11.889547232937892
Dense3x15,Dense2x45,3,independent,3,Dense2x45_3_independent.png,True,66.52799569423904
Dense2x45,Dense1x35,3,second_place_relative,3,Dense1x35_3_second_place_relative.png,True,93.27472083866628
Dense2x45,Dense5x20,3,mean_relative,3,Dense5x20_3_mean_relative.png,True,40.40954526426442
Dense1x65,Dense3x30,1,mean_relative,3,Dense3x30_1_mean_relative.png,True,0.0
Dense1x65,Dense1x30,3,second_place_relative,3,Dense1x30_3_second_place_relative.png,True,72.64662092184999
Dense1x65,Dense1x15,1,mean_relative,2,Dense1x15_1_mean_relative.png,True,0.0
Dense1x65,Dense1x50,0,second_place_relative,0,Dense1x50_0_second_place_relative.png,True,29.90241670237841
Dense1x65,Dense1x50,1,second_place_relative,1,Dense1x50_1_second_place_relative.png,True,20.686483340016345
Dense3x30,Dense5x20,0,mean_relative,2,Dense5x20_0_mean_relative.png,True,0.0
Dense3x30,Dense1x45,1,second_place_relative,1,Dense1x45_1_second_place_relative.png,True,4.60893205110241
Dense3x30,Dense1x55,0,second_place_relative,0,Dense1x55_0_second_place_relative.png,True,23.610681919988345
Dense2x50,Dense2x30,0,second_place_relative,0,Dense2x30_0_second_place_relative.png,True,30.152942425991988
Dense1x50,Dense1x55,1,second_place_relative,1,Dense1x55_1_second_place_relative.png,True,12.526025735295086
Dense1x50,Dense2x25,3,independent,3,Dense2x25_3_independent.png,True,27.879872022898653
Dense2x40,Dense1x55,0,independent,0,Dense1x55_0_independent.png,True,17.602704048043865
Dense2x40,Dense1x60,1,independent,3,Dense1x60_1_independent.png,True,0.0
Dense2x40,Dense2x40,1,mean_relative,1,Dense2x40_1_mean_relative.png,True,20.46951463022407
Dense1x20,Dense1x25,0,second_place_relative,0,Dense1x25_0_second_place_relative.png,True,30.0932042298251
Dense1x15,Dense4x25,1,second_place_relative,6,Dense4x25_1_second_place_relative.png,True,0.0
