testing_network,generating_network,target_class,som_mode,predicted_class,filename,fastlin_eps
Dense1x60,Dense2x23,1,second_place_relative,2,Dense2x23_1_second_place_relative.png,1.279296875
Dense1x60,Dense2x23,3,independent,3,Dense2x23_3_independent.png,19.4970703125
Dense1x60,Dense2x23,3,mean_relative,3,Dense2x23_3_mean_relative.png,17.265625
Dense1x60,Dense2x23,3,second_place_relative,3,Dense2x23_3_second_place_relative.png,17.5830078125
Dense1x60,Dense2x28,0,independent,0,Dense2x28_0_independent.png,9.5458984375
Dense1x60,Dense2x28,0,mean_relative,0,Dense2x28_0_mean_relative.png,6.826171875
Dense1x60,Dense2x28,0,second_place_relative,0,Dense2x28_0_second_place_relative.png,9.5263671875
Dense1x60,Dense2x28,1,independent,1,Dense2x28_1_independent.png,3.69140625
Dense1x60,Dense2x28,1,mean_relative,1,Dense2x28_1_mean_relative.png,3.388671875
Dense1x60,Dense2x28,1,second_place_relative,1,Dense2x28_1_second_place_relative.png,3.486328125
Dense1x60,Dense2x28,3,independent,3,Dense2x28_3_independent.png,21.6650390625
Dense1x60,Dense2x28,3,mean_relative,3,Dense2x28_3_mean_relative.png,21.435546875
Dense1x60,Dense2x28,3,second_place_relative,3,Dense2x28_3_second_place_relative.png,24.619140625
Dense1x60,Dense2x29,0,independent,0,Dense2x29_0_independent.png,12.3779296875
Dense1x60,Dense2x29,0,mean_relative,0,Dense2x29_0_mean_relative.png,11.4306640625
Dense1x60,Dense2x29,0,second_place_relative,0,Dense2x29_0_second_place_relative.png,12.9931640625
Dense1x60,Dense2x29,1,independent,1,Dense2x29_1_independent.png,6.5380859375
Dense1x60,Dense2x29,1,mean_relative,1,Dense2x29_1_mean_relative.png,2.412109375
Dense1x60,Dense2x29,1,second_place_relative,1,Dense2x29_1_second_place_relative.png,2.0458984375
Dense1x60,Dense2x29,3,independent,3,Dense2x29_3_independent.png,21.6162109375
Dense1x60,Dense2x29,3,mean_relative,3,Dense2x29_3_mean_relative.png,19.453125
Dense1x60,Dense2x29,3,second_place_relative,3,Dense2x29_3_second_place_relative.png,17.67578125
Dense1x60,Dense2x30,0,independent,0,Dense2x30_0_independent.png,10.0439453125
Dense1x60,Dense2x30,0,mean_relative,0,Dense2x30_0_mean_relative.png,8.7158203125
Dense1x60,Dense2x30,0,second_place_relative,0,Dense2x30_0_second_place_relative.png,11.7333984375
Dense1x60,Dense2x30,1,independent,1,Dense2x30_1_independent.png,6.5185546875
Dense1x60,Dense2x30,1,mean_relative,1,Dense2x30_1_mean_relative.png,5.7763671875
Dense1x60,Dense2x30,1,second_place_relative,1,Dense2x30_1_second_place_relative.png,6.71875
Dense1x60,Dense2x30,3,independent,3,Dense2x30_3_independent.png,22.75390625
Dense1x60,Dense2x30,3,mean_relative,3,Dense2x30_3_mean_relative.png,20.21484375
Dense1x60,Dense2x30,3,second_place_relative,3,Dense2x30_3_second_place_relative.png,23.388671875
Dense1x60,Dense2x32,0,independent,0,Dense2x32_0_independent.png,1.0693359375
Dense1x60,Dense2x32,0,mean_relative,5,Dense2x32_0_mean_relative.png,0.5419921875
Dense1x60,Dense2x32,0,second_place_relative,0,Dense2x32_0_second_place_relative.png,8.5693359375
Dense1x60,Dense2x32,1,independent,2,Dense2x32_1_independent.png,11.9482421875
Dense1x60,Dense2x32,1,mean_relative,2,Dense2x32_1_mean_relative.png,13.9599609375
Dense1x60,Dense2x32,1,second_place_relative,1,Dense2x32_1_second_place_relative.png,8.0615234375
Dense1x60,Dense2x32,3,independent,3,Dense2x32_3_independent.png,21.40625
Dense1x60,Dense2x32,3,mean_relative,3,Dense2x32_3_mean_relative.png,20.13671875
Dense1x60,Dense2x32,3,second_place_relative,3,Dense2x32_3_second_place_relative.png,21.1279296875
Dense1x60,Dense2x34,0,independent,0,Dense2x34_0_independent.png,10.400390625
Dense1x60,Dense2x34,0,mean_relative,0,Dense2x34_0_mean_relative.png,9.326171875
Dense1x60,Dense2x34,0,second_place_relative,0,Dense2x34_0_second_place_relative.png,14.19921875
Dense1x60,Dense2x34,1,independent,3,Dense2x34_1_independent.png,3.49609375
Dense1x60,Dense2x34,1,mean_relative,3,Dense2x34_1_mean_relative.png,6.162109375
Dense1x60,Dense2x34,1,second_place_relative,1,Dense2x34_1_second_place_relative.png,4.892578125
Dense1x60,Dense2x34,3,independent,3,Dense2x34_3_independent.png,19.1552734375
Dense1x60,Dense2x34,3,mean_relative,3,Dense2x34_3_mean_relative.png,19.94140625
Dense1x60,Dense2x34,3,second_place_relative,3,Dense2x34_3_second_place_relative.png,23.0615234375
Dense1x60,Dense2x37,0,independent,0,Dense2x37_0_independent.png,8.9306640625
Dense1x60,Dense2x37,0,mean_relative,0,Dense2x37_0_mean_relative.png,7.6416015625
Dense1x60,Dense2x37,0,second_place_relative,0,Dense2x37_0_second_place_relative.png,12.8125
Dense1x60,Dense2x37,1,independent,1,Dense2x37_1_independent.png,4.794921875
Dense1x60,Dense2x37,1,mean_relative,1,Dense2x37_1_mean_relative.png,2.919921875
Dense1x60,Dense2x37,1,second_place_relative,1,Dense2x37_1_second_place_relative.png,7.48046875
Dense1x60,Dense2x37,3,independent,3,Dense2x37_3_independent.png,22.001953125
Dense1x60,Dense2x37,3,mean_relative,3,Dense2x37_3_mean_relative.png,22.5439453125
Dense1x60,Dense2x37,3,second_place_relative,3,Dense2x37_3_second_place_relative.png,23.5498046875
Dense1x60,Dense2x39,0,independent,0,Dense2x39_0_independent.png,6.1572265625
Dense1x60,Dense2x39,0,mean_relative,0,Dense2x39_0_mean_relative.png,5.546875
Dense1x60,Dense2x39,0,second_place_relative,0,Dense2x39_0_second_place_relative.png,6.8603515625
Dense1x60,Dense2x39,1,independent,1,Dense2x39_1_independent.png,6.728515625
Dense1x60,Dense2x39,1,mean_relative,3,Dense2x39_1_mean_relative.png,3.6328125
Dense1x60,Dense2x39,1,second_place_relative,1,Dense2x39_1_second_place_relative.png,6.8603515625
Dense1x60,Dense2x39,3,independent,3,Dense2x39_3_independent.png,23.349609375
Dense1x60,Dense2x39,3,mean_relative,3,Dense2x39_3_mean_relative.png,22.7880859375
